english,japanese,translated
Aaron,アーロン,
Adonis,アドニス,
Aegis,イージス,
Alicia,アリーシャ,
Alm,アルム,
Arcana,アルカナ,
Arngrim,アリューゼ,
Atrasia,アトレイシア,
Barbarossa,バルバロッサ,
Brahms,ブラムス,
Celes,セレス,
Chrystie,クリスティ,
Circe,キルケ,
Crescent,クレセント,
Dallas,ダレス,
Dylan,ディラン,
Dyn,ディーン,
Ehlen,エーレン,
Ehrde,エルド,
Falx,ファルクス,
Farant,ファーラント,
Fraudir,フローディア,
Freya,フレイ,
Gerald,ジェラルド,
Guilm,ギルム,
Gyne,ガイン,
Heimdall,ヘイムダル,
Hrist,アーリィ,
Jessica,ジェシカ,
Khanon,カノン,
Kraad,クラッド,
Lenneth,レナス,
Leone,レオーネ,
Lezard,レザード,
Lwyn,ルイン,
Lydia,リディア,
Lylia,リリア,
Masato,魔智,
Millidia,ミリティア,
Mithra,ミトラ,
Odin,オーディン,
Phyress,フィレス,
Psoron,ソロン,
Rasheeka,ラシーカ,
Richelle,リシェル,
Roland,ローランド,
Roussalier,ルザリエ,
Rufus,ルーファス,
Seluvia,セルヴィア,
Sha-kon,紗紺,
Silmeria,シルメリア,
Sophalla,ソファラ,
Sylphide,シルフィード,
Tyrith,ティリス,
Ull,ウル,
Valkyrie,ヴァルキリー,
Walther,ウォルザ,
Woltar,ウォルター,
Xehnon,ゼノン,
Zunde,ザンデ,
Dirna Hamilton,ディルナ・ハミルトン,
Gabriel Celeste,ガブリエ・セレスタ,
Ethereal Queen(Iseria Queen),イセリア・クイーン,
Hel,ヘル,
