english,japanese,translated
Advanced Fury,アドヴァンスフューリアス,
Ambrosia,アンブロシア,
Anointed Cloak,アノイントクローク,
Antique Pendant,ふるびたペンダント,
Apothecary's Arcanum,薬士の秘薬,
Archer's Aptitude,弓闘士の知識,
Armor of Aleph,聖鎧アレフストレイン,
Arondight,名剣アロンダイト,
Bird Poop,とりのふん,
Bloody Duster,ブラッディダスター,
Bloody Murder,ブラッディアッシュ,
Blue Soul Flame,ブルーソウルフレイム,
Bonemeal,骨クズ,
Burgundy Flask,ポルト酒,
Busted Staff,壊れた杖,
Cat Poop,ねこのふん,
Charge Break,チャージブレイク,
Charm,お守り,
Chewed-up Shoes,かじった靴,
Chicken Feed,ひよこのえさ,
Claiomh Solais,光剣クラウソナス,
Clamshell Chum,貝殻入りのえさ,
Claymore,クレイモア,
Core Emerald,コアエメラルド,
Crimson Flame Stone,紅炎の石,
Crystal Chainmail,クリスタルチェイン,
Dainslef,魔剣ダインスレイヴ,
Demon Sword Levantine,魔剣レヴァンテイン,
Dog Poop,いぬのふん,
Double-check,ダブルサーチ,
Dragon Armor,ドラゴンアーマー,
Dragon Orb,ドラゴンオーブ,
Dragonlore,竜杖ドラゴンロア,
Dwarf Tincture,小人の霊薬,
Earth Gem,アースジェム,
Earthproof Talisman,砕土のタリスマン,
Earthproof Trinket,砕土の護符,
Eclipse Stone,日食の石,
Elixir,エリクサー,
Ether Greaves,エーテルグリーブ,
Ether Helm,エーテルヘルム,
Evil Eyebrow Ring,魔眼のピアス,
Expert's Experience,識者の経験,
Extreme Guard,エクストリームガード,
Fairy Tincture,妖精の霊薬,
Falchion,ファルシオン,
Fencer's Familiarity,剣士の知識,
Fifth Oracle,預言書,
Fireproof Trinket,耐炎の護符,
Flare Baselard,フレアバゼラード,
Flare Crystal,フレアクリスタル,
Flare Gem,フレアジェム,
Floral Garb,縫衣フローレスガーブ,
Foolproof Talisman,無欠のタリスマン,
Foolproof Trinket,無欠の護符,
Gandeeva,ガンデーヴァ,
Gauntlet,ガントレット,
Ghoul Powder,グールパウダー,
Gladiolus,グラジオラス,
Goddess Pendant,戦乙女のペンダント,
Goddess Tincture,女神の霊薬,
Golden Egg,金の卵,
Guard Potion,ガードポーシヨン,
Gungnir,神槍グングニル,
Halo Stone,輪光の石,
Hauteclaire,誓剣オートクレイル,
Hildr's Sword,狩剣ヒルド,
Holy Crystal,ホーリィクリスタル,
Holy Gem,ホーリィジェム,
Holy Water of Mithra,ミトラの聖水,
Honeysuckle Dew,金銀花の露,
Hunted Mouse,狩られたネズミ,
Ice Crystal,アイスクリスタル,
Ice Gem,アイスジェム,
Iceproof Talisman,防寒のタリスマン,
Infinite Admiration,煌鎧インフィネイトアドマイア,
Insect Stinger,虫のトゲ,
Iron Helm,アイアンヘルム,
Key to the Mines,鉱山の鍵,
Kraadicator,シルバークラッド,
Kraadmail,クラッドメイル,
Leather Boots,レザーブーツ,
Lightningproof Trinket,避雷の護符,
Lily,リリィ,
Mace Head,メイスヘッド,
Magic Bangle,マジックバングル,
Map of the East Lands,大陸東部の地図,
Map of the North Lands,大陸北部の地図,
Map of the West Lands,大陸西部の地図,
Meat Chops,骨付き肉,
Metabolizer,メタボライザー,
Metal Buckler,メタルバックラー,
Metal Greaves,メタルグリーブ,
Might Potion,マイトポーシヨン,
Mirage Robe,幻衣ミラージュローブ,
Misfortunate Bird,不幸な青い鳥,
Mithril Crown,ミスリルクラウン,
Mithril Greaves,ミスリルグリーブ,
Mithril Helm,ミスリルヘルム,
Nectar Potion,リキュールポーシヨン,
Noble Elixir,ノーブルエリクサー,
Ouroboros Symbol,ウロボロスシンボル,
Overdrive,オーバードライブ,
Pallasch,パラッシュ,
Prime Elixir,プライムエリクサー,
Prism Crystal,プリズムクリスタル,
Prism Gem,プリズムジェム,
Reflect Armor,鏡鎧リフレックス,
Robe of Bryttain,聖衣ブリタニアガーブ,
Royal Glove,ロイヤルグローブ,
Royal Jelly,ロイヤルゼリー,
Sage's Arcanum,賢者の秘薬,
Sallet,サレット,
Screp,スクレップ,
Seafood,海鮮肉,
Second Oracle,預言書,
Shamshir,シャムシール,
Silver Helm,シルバーヘルム,
Silver Plate,シルバープレート,
Silver Scales,シルバースケイル,
Sixth Oracle,預言書,
Skull Receptacle,ドクロの器,
Soft Stone,やわらかな石,
Solomon's Ring,ソロモンの指輪,
Sorcerer's Savvy,魔術師の知識,
Spell Potion,スペルポーシヨン,
Spirit Tincture,精霊の霊薬,
Squalid Cloth,ぼろぼろの布,
Strength Bow,ストレングスボウ,
Sucked Bone,しやぶった骨,
Sun and Moon Stone,陽月の石,
Sun Shower,名刀五月雨,
Supreme Crown,スプリームクラウン,
Tailless Lizard,尻尾の切れたトカゲ,
Thief's Thoughts,盗賊の知識,
Third Oracle,預言書,
Thunder Gem,サンダージェム,
Tiny Bugs,ちいさな虫,
Tiny Flower,ちいさな花,
Tome of Alchemy,錬金術の書,
tri-Emblem,トライエンブレム,
Unicorn's Horn,聖杖ユニコーンズホーン,
Union Plume,ユニオンプラム,
Valiant Greaves,ヴァリアントグリーブ,
Valiant Helm,ヴァリアントヘルム,
Valor Gauntlet,ヴァローガントレット,
Valor Greaves,ヴァローグリーブ,
Vegetable Debris,野菜くず,
Wand of Apocalypse,魔杖アポカリプス,
Warrior's Arcanum,戦士の秘薬,
Warrior's Wits,重戦士の知識,
Water Mirror,水鏡,
Weeping Lily,スズラン,
Witch's Arcanum,魔女の秘薬,
Ymir's Tear,ユミルの涙,
Philosopher's Stone,賢者の石,
