english,japanese,translated
Ancient Forest,蒼枯の森,
Asgard,アスガルド,
Audoula Temple on the Lake,アウドゥーラ水上神殿,
Chateau Obsession,昏き妄執の館,
Coriander,コリアンドル村,
Crawsus Forest Ruins,クローサス森林遺跡,
Crell Monferaigne,クレルモンフェラン,
Dipan,ディパン,
Dipan Castle,ディパン城,
Dragonscrypt,竜の墓場,
Forest of Spirits,精霊の森,
Kalstad,カルスタッド,
Kythena Plains,キセナ草原,
Lost Forest,喪失の森,
Palace of the Venerated Dragon,奉竜殿,
Royal Underground Path,王家の地下道,
Sahma Desert,サーマ砂漠,
Seraphic Gate,セラフィックゲート,
Serdberg Mountain Ruins,セルドベルグ山岳遺跡,
Solde,ゾルデ,
Sukavia Gorge,スカビア渓谷,
Surts Volcano Caverns,スルス火山洞窟,
Tower of Lezard Valeth,レザード・ヴァレスの塔,
Turgen Mine,トゥルゲン鉱山,
Villnore,ヴィルノア,
Yggdrasil,ユグドラシル,
Ravine Caverns,狭間の洞窟,
Hall of Valhalla,ヴァルハラ宮殿,
Paltierre,パルティア公国,
