english,japanese,ptbr
Alarm Blessing,早〓の加護,
Barrier Blessing,壁の加護,
Burst Light Blessing,光散の加護,
Confuse Pin Blessing,混針の加護,
Dancing Light Blessing,光跳の加護,
Darkness Blessing,闇の加護,
Earth Blessing,土の加護,
Festive Light Blessing,多光跳の加護,
Fire Blessing,炎の加護,
Gem Blessing,〓石の加護,
Gold Blessing,金の加護,
Holy Blessing,聖の加護,
Hunter Blessing,狩精の加護,
Ice Blessing,氷の加護,
Lifeforce Blessing,命精の加護,
Lightning Blessing,雷の加護,
Magical Light Blessing,光呪の加護,
Ore Blessing,貴石の加護,
Paper Tiger Blessing,〓子の加護,
Poison Pin Blessing,毒針の加護,
Shield Blessing,盾の加護,
Silent Pin Blessing,黙針の加護,
Six Elements Blessing,〓〓の加護,
Sleipnir Blessing,〓足馬の加護,
Strongman Blessing,堅者の加護,
Sword Blessing,剣の加護,
Treasure Blessing,宝の加護,
Yggdrasil Blessing,理〓ぐ大〓の加護,
Black Anchor Wrath,重き黒〓の戒,
Chasm Wrath,亀裂の戒,
Cotton Dust Wrath,軽き〓〓の戒,
Fetters Wrath,足〓の戒,
Fog Wrath,霧の戒,
Manacles Wrath,手〓の戒,
Masochist Wrath,自虐の戒,
Powerless Cap Wrath,無力な〓〓子の戒,
Powerless Pigeon Wrath,無力な伝書〓の戒,
Rust Wrath,〓の戒,
Sheathed Power Wrath,威を〓ぐ〓の戒,
Somber Light Wrath,〓光跳の戒,
Soul Wringer Wrath,魂を〓る〓力の戒,
Soul-Carver Wrath,魂を〓る〓の戒,
Stone Hurler Wrath,投石器の戒,
Wrath of Bread Alone,命のみ糧とする戒,
Wrath of Forcefulness,剣を〓とする戒,
Achromatic Law,色無しの理,
Brimstone Law,業炎の理,
Chaos Law,混〓の理,
Dark Night Law,闇夜の理,
Desperate Soldier Law,糧なき突撃兵の理,
Elusive Air Law,敵を〓く虚空の理,
Experience Friend Law,経験を供す友の理,
Experience Pig Law,経験を〓る〓の理,
Gold Grubber Law,金を食らう虫の理,
Great Shield Law,大盾の理,
Holy Light Law,聖光の理,
Iceberg Law,氷塊の理,
Law of Consistency,常に常とする理,
Lawbreaker's Law,異法消しの理,
Mudbank Law,〓土の理,
Secluded Valley Law,〓谷の理,
Sharp Sword Law,鋭剣の理,
Thundercloud Law,雷〓の理,
Trade Law,法を交わす道の理,
Transvestal Law,転性の理,
Unprepared Castle Law,備えなき城の理,
