resource,message_id,kind,offset,byte_length,original_en,original_jp,translated,details
runtime-00A5C6C0,3011,codepage,5422,6,Items,アイテム,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3012,codepage,5428,6,Magic,魔法,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3013,codepage,5434,6,Rearm,武器変更,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3014,codepage,5440,13,Use an item.,道具を使用します,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3015,codepage,5453,11,Use magic.,魔法を使用します,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3016,codepage,5464,21,Equip other weapons.,武器の変更を行います,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3017,codepage,5485,25,<8099>RShow sealstone effect,<0033>封印石効果表示,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3018,codepage,5510,25,<8099>RHide sealstone effect,<0033>封印石効果非表示,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3019,codepage,5535,15,<8099>RShow topics,<0033>トピックス表示,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3020,codepage,5550,15,<8099>RHide topics,<0033>トピックス非表示,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3021,codepage,5565,3,AP,AP,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3022,codepage,5568,14,Party effects,PARTY EFFECT,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3023,codepage,5582,14,Enemy effects,ENEMY EFFECT,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3024,codepage,5596,9,(Remove),(はずす),,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3025,codepage,5605,7,Weapon,WEAPON,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3026,codepage,5612,8,Attacks,攻撃回数,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3027,codepage,5620,15,Special attack,決め技,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3028,codepage,5635,8,Element,攻撃属性,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3029,codepage,5643,3,<01AA>,有,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3030,codepage,5646,17,Effect on allies,味方所有の効果,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3031,codepage,5663,18,Effect on enemies,敵所有の効果,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3032,codepage,5681,10,No effect,なし,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3033,codepage,5691,12,Single ally,味方単体,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3034,codepage,5703,16,Allies in range,味方範囲,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3035,codepage,5719,11,Ally group,味方グループ,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3036,codepage,5730,20,All allies (radius),味方全体(距離),,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3037,codepage,5750,11,All allies,味方全体,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3038,codepage,5761,13,Single enemy,敵単体,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3039,codepage,5774,17,Enemies in range,敵範囲,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3040,codepage,5791,12,All enemies,敵全体,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3041,codepage,5803,13,All in range,全員範囲,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
runtime-00A5C6C0,3042,codepage,5816,12,All targets,全員全体,,Battle UI block; Japanese decoded from SLPM-66419 runtime state
