resource,message_id,kind,offset,byte_length,original_en,original_jp,translated
641,1,codepage,0,4,Buy,〓入,Comprar
641,0,codepage,0,4,Buy,〓入,Comprar
641,2,codepage,4,5,Sell,〓〓,Vender
641,3,codepage,9,30,<8099>-                       <8099>+,〓〓〓〓〓〓〓〓〓,
641,4,codepage,39,7,<0065><0066><0066><0066><0066>/,〓〓〓〓〓〓,
641,5,codepage,46,14,"ATK
MAG
HIT",〓〓〓〓〓〓〓〓〓,
641,6,codepage,60,14,"AVD
RDM
RST",〓〓〓〓〓〓〓〓〓,
641,7,codepage,74,11,Requisites,〓〓な素〓,
641,8,codepage,85,24,"Buy selected item(s)?
",〓〓したアイテムを〓入しますよろしいですか〓,
641,9,codepage,109,25,"Sell selected item(s)?
",〓〓したアイテムを〓〓しますよろしいですか〓,
641,10,codepage,134,24,Any other transactions?,他に用はありますか〓,
641,11,codepage,158,11,Available:,所持金：,
641,12,codepage,169,10,Subtotal:,〓〓：,
641,13,codepage,179,49,"<8084>0Press <8099>2<8099>3 to set quantity
for purchase.<8082>",で〓入するアイテムの〓を〓〓してく〓さい,
641,14,codepage,228,45,"<8084>0Press <8099>2<8099>3 to set quantity
for sale.<8082>",で〓〓するアイテムの〓を〓〓してく〓さい,
641,15,codepage,273,4,Yes,はい,
641,16,codepage,277,3,No,いいえ,
641,17,codepage,280,14,<8088>5Requisites,〓〓な素〓,
641,18,codepage,294,11,??????????,〓〓〓〓〓〓〓〓〓〓,
641,20,codepage,305,15,<808A><999A>x^<999A>x^Sort,ソート,
641,21,codepage,320,4,ABC,名〓〓,
641,22,codepage,324,5,Type,〓〓〓,
641,23,codepage,329,6,Price,〓〓〓,
641,24,codepage,335,13,Attack Power,〓〓力〓,
641,25,codepage,348,12,Magic Power,魔力〓,
641,26,codepage,360,9,Hit Rate,〓中〓〓,
641,27,codepage,369,6,Avoid,〓避〓〓,
641,28,codepage,375,14,Reduce Damage,物〓耐〓〓,
641,29,codepage,389,13,Magic Resist,魔法耐〓〓,
641,30,codepage,402,8,Default,〓期〓〓に〓す,
641,31,codepage,410,2,(,（,
641,32,codepage,412,2,),）,
641,33,codepage,414,6,Armed,〓〓中,
641,34,codepage,420,7,Usable,〓〓〓,
641,35,codepage,427,2,<0067>,〓,
641,36,codepage,429,2,<0068>,〓,
641,60,codepage,431,58,<8099>2<8099>3Quantity  <8099>@Buy  <8099>RMore Info  <8099>QSort  <8099>8<8099>9Page,〓〓〓〓〓〓入〓〓〓切り〓え〓ソート〓ページ,
641,61,codepage,489,16,Purchase items.,アイテムを〓入します,
641,62,codepage,505,24,Sell items you possess.,手持ちのアイテムを〓〓します,
641,63,codepage,529,19,Display all items.,全てのアイテムを〓〓します,
641,64,codepage,548,17,Display weapons.,〓器を〓〓します,
641,65,codepage,565,30,Display protective equipment.,防〓を〓〓します,
641,66,codepage,595,31,Display items for consumption.,道〓を〓〓します,
641,67,codepage,626,21,Display accessories.,アクセサリーを〓〓します,
641,68,codepage,647,20,Display rare items.,レアアイテムを〓〓します,
641,69,codepage,667,31,Arrange in alphabetical order.,名〓〓に並び〓えます,
641,70,codepage,698,17,Arrange by type.,〓〓〓に並び〓えます,
641,71,codepage,715,18,Arrange by price.,〓〓〓に並び〓えます,
641,72,codepage,733,25,Arrange by attack power.,〓〓力〓に並び〓えます,
641,73,codepage,758,24,Arrange by magic power.,魔力〓に並び〓えます,
641,74,codepage,782,21,Arrange by hit rate.,〓中〓〓に並び〓えます,
641,75,codepage,803,25,Arrange by evasion rate.,〓避〓〓に並び〓えます,
641,76,codepage,828,31,Arrange by physical tolerance.,物〓耐〓〓に並び〓えます,
641,77,codepage,859,29,Arrange by magic resistance.,魔法耐〓〓に並び〓えます,
641,78,codepage,888,24,Reset to default order.,〓期〓〓に〓します,
641,79,codepage,912,18,<8099>2<8099>3Select list,メニュー〓〓,
641,80,codepage,930,59,<8099>2<8099>3Quantity  <8099>@Sell  <8099>RMore Info  <8099>QSort  <8099>8<8099>9Page,〓〓〓〓〓〓〓〓〓〓切り〓え〓ソート〓ページ,
641,81,codepage,989,19,Display materials.,素〓を〓〓します,
641,82,codepage,1008,86,"<8084>0Requisites are assigned to another item.
Purchase quantity cannot be increased.<8082>",〓〓な素〓を〓のアイテムで〓用しているためこれ〓上〓入〓を〓やすことはできま〓ん,
641,84,codepage,1095,6,Solde,ゾルデ,
641,85,codepage,1101,6,Dipan,ディパン,
641,86,codepage,1107,9,Villnore,ヴィルノア,
641,87,codepage,1116,18,Crell Monferaigne,クレルモンフェラン,
641,88,codepage,1134,8,Peddler,行商人,
641,89,codepage,1142,8,Peddler,行商人,
641,91,codepage,1151,7,Armory,〓器防〓〓,
641,92,codepage,1158,7,Armory,〓器防〓〓,
641,93,codepage,1165,7,Armory,〓器防〓〓,
641,94,codepage,1172,7,Armory,〓器防〓〓,
641,95,codepage,1179,14,General Store,よろず〓,
641,96,codepage,1193,14,General Store,よろず〓,
641,98,codepage,1208,11,Long Sword,ロングソード,
641,99,codepage,1219,7,Rapier,レイピア,
641,100,codepage,1226,9,Shamshir,シャムシール,
641,101,codepage,1235,13,Viking Sword,ヴィーキングソード,
641,102,codepage,1248,9,Falchion,ファルシオン,
641,103,codepage,1257,14,Walloon Sword,〓ルーンソード,
641,104,codepage,1271,9,Karsnaut,霊剣カールスナウト,
641,105,codepage,1280,17,Sabertooth Saber,名刀〓切り,
641,106,codepage,1297,9,Pallasch,パラッシュ,
641,107,codepage,1306,15,Sinclair Saber,シンクレアーサーベル,
641,108,codepage,1321,10,Frostbane,フロストペイン,
641,109,codepage,1331,6,Harpe,〓刀ハルペー,
641,110,codepage,1337,15,Spider Fighter,名刀〓〓切り,
641,111,codepage,1352,15,Lightning Edge,ライトニングエッジ,
641,112,codepage,1367,13,Icicle Sword,アイシクルソード,
641,113,codepage,1380,11,Runeslayer,ルーンスレイヤー,
641,114,codepage,1391,15,Flare Baselard,フレアバゼラード,
641,115,codepage,1406,13,Lotus Slicer,名刀〓〓ち,
641,116,codepage,1419,11,Holy Sword,ホーリィソード,
641,117,codepage,1430,11,Sun Shower,名刀五月雨,
641,118,codepage,1441,10,Arondight,名剣アロンダイト,
641,119,codepage,1451,17,Sword of Silvans,〓刀シルヴァンス,
641,120,codepage,1468,5,Gram,魔剣グラム,
641,121,codepage,1473,8,Ascalon,聖剣アスカロン,
641,122,codepage,1481,9,Moonfalx,名剣ムーンファルクス,
641,123,codepage,1490,15,Glance Reviver,神剣グランス・リヴァイバー,
641,124,codepage,1505,9,Dainslef,魔剣ダインスレイヴ,
641,125,codepage,1514,24,"Demon Sword ""Levantine""",魔剣レヴァンテイン,
641,126,codepage,1538,14,Helgi's Sword,〓剣ヘルギ,
641,127,codepage,1552,13,Angel Slayer,〓人の剣〓神を〓〓〓し者〓,
641,128,codepage,1565,14,Bastard Sword,バスタードソード,
641,129,codepage,1579,17,Two-Handed Sword,トゥハンデッドソード,
641,130,codepage,1596,15,Striking Sword,ストライキングソード,
641,131,codepage,1611,15,Elemental Edge,エレメンタルエッジ,
641,132,codepage,1626,6,Screp,スクレップ,
641,133,codepage,1632,9,Claymore,クレイモア,
641,134,codepage,1641,9,Hrunting,フルンティング,
641,135,codepage,1650,10,Flamberge,フランベルジュ,
641,136,codepage,1660,11,Zweihander,ツヴァイハンダー,
641,137,codepage,1671,11,Vainslayer,名剣ヴェインスレイ,
641,138,codepage,1682,14,Dragon Slayer,ドラゴンスレイヤー,
641,139,codepage,1696,12,Kraadicator,シルバークラッド,
641,140,codepage,1708,12,Grand Sting,蒼剣グランスティング,
641,141,codepage,1720,10,Arectaris,精王剣アレクタリス,
641,142,codepage,1730,9,Durandal,〓剣デュランダル,
641,143,codepage,1739,9,Caliburn,カリバーン,
641,144,codepage,1748,12,Gjallarhorn,神剣ギャラルホルン,
641,145,codepage,1760,15,Claiomh Solais,光剣クラウソナス,
641,146,codepage,1775,14,Vampire Sword,ヴァンパイアソード,
641,147,codepage,1789,13,Ignite Sword,イグニートソード,
641,148,codepage,1802,24,"Demon Sword ""Nefarious""",魔剣アクターネファリウス,
641,149,codepage,1826,8,Tyrfing,壊剣ティルフング,
641,150,codepage,1834,8,Gungnir,神槍グングニル,
641,151,codepage,1842,16,Saint's Halberd,聖槍セントハルバード,
641,152,codepage,1858,17,"Spear ""Basilisk""",〓〓バシリスク,
641,153,codepage,1875,15,Lunar Bardiche,裂槍ルーンバルディーチェ,
641,154,codepage,1890,23,"Great Spear ""Dinosaur""",〓槍ダイナソア,
641,155,codepage,1913,10,Short Bow,シヨートボウ,
641,156,codepage,1923,9,Crossbow,クロスボウ,
641,157,codepage,1932,9,Long Bow,ロングボウ,
641,158,codepage,1941,13,Strength Bow,ストレングスボウ,
641,159,codepage,1954,17,Supreme Crossbow,スプリームクロスボウ,
641,160,codepage,1971,15,Heavy Crossbow,ヘビークロスボウ,
641,161,codepage,1986,18,Composite Longbow,コンポジットロング,
641,162,codepage,2004,16,Greenery Slayer,グリナリースレイヤー,
641,163,codepage,2020,9,Arbalest,アーバレスト,
641,164,codepage,2029,18,Serstine-lock-gun,セルスタインロックガン,
641,165,codepage,2047,12,Mage Slayer,メイジスレイヤー,
641,166,codepage,2059,12,Doublecross,〓弓ダブルクロス,
641,167,codepage,2071,9,Elvenbow,霊弓エルヴンボウ,
641,168,codepage,2080,14,Shiny Rupture,シャイニィラプチャー,
641,169,codepage,2094,10,Blue Gale,〓弓ブルーゲイル,
641,170,codepage,2104,11,Misteltein,〓弓ミステルテイン,
641,171,codepage,2115,15,Crescent Arrow,クレセントアロー,
641,172,codepage,2130,13,Wild Chalice,〓イルドカリス,
641,173,codepage,2143,8,Tathlum,魔〓タスラム,
641,174,codepage,2151,11,Soulslayer,ソウルスレイヤー,
641,175,codepage,2162,15,Soothsayer Bow,魔弓レイザーフォーテル,
641,176,codepage,2177,11,Sylvan Bow,神弓シルヴァンボウ,
641,177,codepage,2188,21,Elhanan's Fingertips,エルハナンの指先,
641,178,codepage,2209,10,Ruby Mace,ルビーメイス,
641,179,codepage,2219,13,Crystal Wand,クリスタル〓ンド,
641,180,codepage,2232,18,Mystic Cult Staff,秘密教〓の杖,
641,181,codepage,2250,13,Infinity Rod,インフィニティロッド,
641,182,codepage,2263,13,Mithril Wand,ミスリル〓ンド,
641,183,codepage,2276,11,Lotus Wand,ロータス〓ンド,
641,184,codepage,2287,13,Alchemy Wand,アルケミー〓ンド,
641,185,codepage,2300,11,Dragonlore,竜杖ドラゴンロア,
641,186,codepage,2311,9,Holy Rod,ホーリィロッド,
641,187,codepage,2320,15,Deluge Scepter,デルージュセプター,
641,188,codepage,2335,15,Unicorn's Horn,聖杖ユニコーンズホーン,
641,189,codepage,2350,14,Ether Scepter,エーテルセプター,
641,190,codepage,2364,9,Caduceus,〓杖ケーリュケイオン,
641,191,codepage,2373,19,Wand of Apocalypse,魔杖アポカリプス,
641,192,codepage,2392,19,Holy Wand of Telos,聖杖ミリオンテラー,
641,193,codepage,2411,15,Bloody Knuckle,ブラッディナックル,
641,194,codepage,2426,13,Bloody Nails,ブラッディフロウ,
641,195,codepage,2439,12,Bloody Claw,ブラッディクロー,
641,196,codepage,2451,14,Bloody Duster,ブラッディダスター,
641,197,codepage,2465,14,Bloody Murder,ブラッディアッシュ,
641,198,codepage,2479,13,Leather Mail,レザーメイル,
641,199,codepage,2492,10,Chainmail,チェインメイル,
641,200,codepage,2502,8,Cuirass,キュイラス,
641,201,codepage,2510,18,Crystal Chainmail,クリスタルチェイン,
641,202,codepage,2528,15,Silver Cuirass,シルバーキュイラス,
641,203,codepage,2543,14,Silver Scales,シルバースケイル,
641,204,codepage,2557,11,Duel Armor,デュエルアーマー,
641,205,codepage,2568,12,Flame Armor,フレイムアーマー,
641,206,codepage,2580,10,Kraadmail,クラッドメイル,
641,207,codepage,2590,12,Silver Mail,シルバーメイル,
641,208,codepage,2602,13,Icicle Plate,アイシクルプレート,
641,209,codepage,2615,13,Dragon Armor,ドラゴンアーマー,
641,210,codepage,2628,12,Valor Armor,ヴァローアーマー,
641,211,codepage,2640,11,Full Plate,フルプレート,
641,212,codepage,2651,14,Valiant Armor,ヴァリアントアーマー,
641,213,codepage,2665,13,Silver Plate,シルバープレート,
641,214,codepage,2678,14,Reflect Armor,鏡鎧リフレックス,
641,215,codepage,2692,14,Mithril Plate,ミスリルプレート,
641,216,codepage,2706,18,Conquerer's Armor,覇王の鎧,
641,217,codepage,2724,15,Armor of Aleph,聖鎧アレフストレイン,
641,218,codepage,2739,20,Infinite Admiration,煌鎧インフィネイトアドマイア,
641,219,codepage,2759,14,Alicia's Robe,アリーシャのローブ,
641,220,codepage,2773,6,Cloak,クローク,
641,221,codepage,2779,13,Silver Cloak,シルバークローク,
641,222,codepage,2792,14,Leather Cloak,レザークローク,
641,223,codepage,2806,12,Noble Cloak,ノーブルクローク,
641,224,codepage,2818,15,Anointed Cloak,アノイントクローク,
641,225,codepage,2833,13,Supreme Garb,スプリームガーブ,
641,226,codepage,2846,12,Mirage Robe,幻衣ミラージュローブ,
641,227,codepage,2858,13,Crystal Garb,〓衣クリスタルガーブ,
641,228,codepage,2871,14,Elfin Taffeta,エルヴンタフタ,
641,229,codepage,2885,11,Fairy Garb,フェアリィガーブ,
641,230,codepage,2896,11,Flame Mist,炎衣フレイムミスト,
641,231,codepage,2907,13,Phoenix Garb,神衣フェニックスガーブ,
641,232,codepage,2920,17,Robe of Bryttain,聖衣ブリタニアガーブ,
641,233,codepage,2937,13,Sylphan Robe,聖衣シルフレッド,
641,234,codepage,2950,12,Floral Garb,縫衣フローレスガーブ,
641,235,codepage,2962,14,Eternal Shine,〓衣エターナルシャイン,
641,236,codepage,2976,7,Sallet,サレット,
641,237,codepage,2983,14,Silver Sallet,シルバーサレット,
641,238,codepage,2997,10,Iron Helm,アイアンヘルム,
641,239,codepage,3007,10,Duel Helm,デュエルヘルム,
641,240,codepage,3017,13,Crystal Helm,クリスタルヘルム,
641,241,codepage,3030,12,Silver Helm,シルバーヘルム,
641,242,codepage,3042,15,Golem Headwear,ゴーレムヘッド,
641,243,codepage,3057,11,Valor Helm,ヴァローヘルム,
641,244,codepage,3068,13,Valiant Helm,ヴァリアントヘルム,
641,245,codepage,3081,10,Rune Helm,ルーンヘルム,
641,246,codepage,3091,13,Mithril Helm,ミスリルヘルム,
641,247,codepage,3104,11,Ether Helm,エーテルヘルム,
641,248,codepage,3115,12,Metal Crown,メタルクラウン,
641,249,codepage,3127,12,Olive Crown,オリーブクラウン,
641,250,codepage,3139,15,Anointed Crown,アノイントクラウン,
641,251,codepage,3154,15,Magician's Hat,マジシャンハット,
641,252,codepage,3169,26,Tiara of the Holy Empress,聖〓〓のティアラ,
641,253,codepage,3195,16,Empress Coronet,エンプレスコロネット,
641,254,codepage,3211,11,Rune Crown,ルーンクラウン,
641,255,codepage,3222,14,Supreme Crown,スプリームクラウン,
641,256,codepage,3236,14,Mithril Crown,ミスリルクラウン,
641,257,codepage,3250,12,Ether Crown,エーテルクラウン,
641,258,codepage,3262,9,Gauntlet,ガントレット,
641,259,codepage,3271,14,Metal Buckler,メタルバックラー,
641,260,codepage,3285,15,Sacred Guarder,セイクリッドガーダー,
641,261,codepage,3300,15,Silver Buckler,シルバーバックラー,
641,262,codepage,3315,13,Duel Guarder,デュエルガーダー,
641,263,codepage,3328,15,Valor Gauntlet,ヴァローガントレット,
641,264,codepage,3343,14,Holy Gauntlet,ホーリィガントレット,
641,265,codepage,3357,17,Mithril Gauntlet,ミスリルガントレット,
