resource,message_id,kind,offset,byte_length,original_en,original_jp,translated,copy_status
866,1,codepage,0,5,Cost,,,duplicate
866,0,codepage,0,5,Cost,入れ替え,,duplicate
866,2,codepage,5,7,Switch,入れ替え,,
866,3,codepage,12,7,Origin,原産地,,duplicate
866,4,codepage,19,8,Restore,返還,,
866,5,codepage,27,7,Cancel,キャンセル,,primary
866,6,codepage,34,16,Magic crystals:,魔晶石：,,
866,7,codepage,50,18,Withdrawals left:,引き出し残数：,,
866,8,codepage,68,12,Overall map,全体マップ,,
866,10,codepage,80,43,"This sealstone will be restored.
Proceed?","この封印石を返還します。
よろしいですか？",,
866,11,codepage,123,40,"Restoring this sealstone will cost
<8094>,","この封印石を返還すると
魔晶石を消費します。
地脈に返還しますか？",,
866,14,codepage,214,10,Sealstone,封印石,,primary
866,15,codepage,224,7,<0065><0065><0065><0065><0065><0065>,,,primary
866,16,codepage,231,4,<0065><0065><0065>,,,primary
866,18,codepage,235,26,<808A><999A>x^<999A>x^Sealstones held,所持中の封印石,,
866,19,codepage,261,4,Yes,はい,,duplicate
866,20,codepage,265,3,No,いいえ,,duplicate
866,21,codepage,268,15,<808A><999A>x^<999A>x^Dais,台座,,
866,22,codepage,283,17,<808A><999A>x^<999A>x^Spring,〓,,primary
866,23,codepage,300,16,<808A><999A>x^<999A>x^Shell,殻,,
866,33,codepage,316,17,<808A><999A>x^<999A>x^Spring,〓,,duplicate
866,50,codepage,333,47,Exchange held sealstone for sealstone on dais.,所持中の封印石と台座の封印石を入れ替えます,,
866,51,codepage,380,33,Restore sealstone to earth vein.,封印石を地脈に返還します,,
866,52,codepage,413,49,Exchange held sealstone for sealstone in spring.,所持中の封印石と〓の封印石を入れ替えます,,
866,53,codepage,462,18,View overall map.,全体マップを表示します,,
866,54,codepage,480,48,Exchange held sealstone for sealstone in shell.,所有の封印石と殻の封印石を入れ替えます,,
866,59,codepage,528,32,<8099>RInfo<0066><8099>2<8099>3To held sealstone,詳細 所持中の封印石へ,,
866,60,codepage,560,19,<8099>RInfo<0066><8099>8<8099>9Page,詳細 ページ,,
866,61,codepage,579,47,<8099>@Switch<0066><8099>RInfo<0066><8099>2<8099>3To sealstones in place,入れ替え 詳細 配置されている封印石へ,,
866,62,codepage,626,44,<8099>@Restore<0066><8099>RInfo<0066><8099>2<8099>3To held sealstones,返還 詳細 所持中の封印石へ,,
866,63,codepage,670,48,<8099>@Restore<0066><8099>RInfo<0066><8099>2<8099>3To sealstones in place,返還 詳細 配置されている封印石へ,,
866,64,codepage,718,11,<8099>R<8099>ABack,戻る,,primary
866,65,codepage,729,18,<8099>@Switch<0066><8099>RInfo,入れ替え 詳細,,
866,66,codepage,747,19,<8099>@Restore<0066><8099>RInfo,返還 詳細,,
866,68,codepage,767,14,Gold Blessing,金の加護,,primary
866,69,codepage,781,18,Treasure Blessing,宝の加護,,primary
866,70,codepage,799,13,Gem Blessing,〓石の加護,,primary
866,71,codepage,812,19,Experience Pig Law,経験を〓る〓の理,,primary
866,72,codepage,831,17,Gold Grubber Law,金を食らう虫の理,,primary
866,73,codepage,848,22,Experience Friend Law,経験を供す友の理,,primary
866,74,codepage,870,23,Dancing Light Blessing,光跳の加護,,primary
866,75,codepage,893,23,Magical Light Blessing,光呪の加護,,primary
866,76,codepage,916,21,Burst Light Blessing,光散の加護,,primary
866,77,codepage,937,15,Alarm Blessing,早〓の加護,,primary
866,78,codepage,952,19,Black Anchor Wrath,重き黒〓の戒,,primary
866,79,codepage,971,18,Cotton Dust Wrath,軽き〓〓の戒,,primary
866,80,codepage,989,20,Powerless Cap Wrath,無力な〓〓子の戒,,primary
866,81,codepage,1009,14,Fire Blessing,炎の加護,,primary
866,82,codepage,1023,13,Ice Blessing,氷の加護,,primary
866,83,codepage,1036,15,Earth Blessing,土の加護,,primary
866,84,codepage,1051,19,Lightning Blessing,雷の加護,,primary
866,85,codepage,1070,14,Brimstone Law,業炎の理,,primary
866,86,codepage,1084,12,Iceberg Law,氷塊の理,,primary
866,87,codepage,1096,12,Mudbank Law,〓土の理,,primary
866,88,codepage,1108,17,Thundercloud Law,雷〓の理,,primary
866,89,codepage,1125,15,Holy Light Law,聖光の理,,primary
866,90,codepage,1140,15,Dark Night Law,闇夜の理,,primary
866,91,codepage,1155,15,Achromatic Law,色無しの理,,primary
866,93,codepage,1171,12,Chasm Wrath,亀裂の戒,,primary
866,94,codepage,1183,16,Masochist Wrath,自虐の戒,,primary
866,95,codepage,1199,18,Soul-Carver Wrath,魂を〓る〓の戒,,primary
866,96,codepage,1217,17,Barrier Blessing,壁の加護,,primary
866,97,codepage,1234,19,Lifeforce Blessing,命精の加護,,primary
866,98,codepage,1253,22,Six Elements Blessing,〓〓の加護,,primary
866,99,codepage,1275,21,Wrath of Bread Alone,命のみ糧とする戒,,primary
866,100,codepage,1296,22,Wrath of Forcefulness,剣を〓とする戒,,primary
866,101,codepage,1318,19,Law of Consistency,常に常とする理,,primary
866,102,codepage,1337,22,Desperate Soldier Law,糧なき突撃兵の理,,primary
866,103,codepage,1359,10,Chaos Law,混〓の理,,primary
866,104,codepage,1369,17,Lawbreaker's Law,異法消しの理,,primary
866,105,codepage,1386,16,Elusive Air Law,敵を〓く虚空の理,,primary
866,106,codepage,1402,10,Trade Law,法を交わす道の理,,primary
866,107,codepage,1412,19,Yggdrasil Blessing,理〓ぐ大〓の加護,,primary
866,108,codepage,1431,23,Festive Light Blessing,多光跳の加護,,primary
866,109,codepage,1454,19,Somber Light Wrath,〓光跳の戒,,primary
866,110,codepage,1473,23,Powerless Pigeon Wrath,無力な伝書〓の戒,,primary
866,111,codepage,1496,10,Fog Wrath,霧の戒,,primary
866,112,codepage,1506,15,Sword Blessing,剣の加護,,primary
866,113,codepage,1521,16,Sharp Sword Law,鋭剣の理,,primary
866,114,codepage,1537,16,Shield Blessing,盾の加護,,primary
866,115,codepage,1553,17,Great Shield Law,大盾の理,,primary
866,116,codepage,1570,13,Ore Blessing,貴石の加護,,primary
866,117,codepage,1583,20,Poison Pin Blessing,毒針の加護,,primary
866,118,codepage,1603,20,Silent Pin Blessing,黙針の加護,,primary
866,119,codepage,1623,21,Confuse Pin Blessing,混針の加護,,primary
866,120,codepage,1644,22,Unprepared Castle Law,備えなき城の理,,primary
866,121,codepage,1666,14,Holy Blessing,聖の加護,,primary
866,122,codepage,1680,18,Darkness Blessing,闇の加護,,primary
866,123,codepage,1698,19,Stone Hurler Wrath,投石器の戒,,primary
866,124,codepage,1717,18,Sleipnir Blessing,〓足馬の加護,,primary
866,125,codepage,1735,16,Hunter Blessing,狩精の加護,,primary
866,126,codepage,1751,14,Fetters Wrath,足〓の戒,,primary
866,127,codepage,1765,15,Manacles Wrath,手〓の戒,,primary
866,128,codepage,1780,21,Sheathed Power Wrath,威を〓ぐ〓の戒,,primary
866,129,codepage,1801,19,Soul Wringer Wrath,魂を〓る〓力の戒,,primary
866,130,codepage,1820,20,Secluded Valley Law,〓谷の理,,primary
866,131,codepage,1840,19,Strongman Blessing,堅者の加護,,primary
866,133,codepage,1860,16,Transvestal Law,転性の理,,primary
866,134,codepage,1876,21,Paper Tiger Blessing,〓子の加護,,primary
866,135,codepage,1897,11,Rust Wrath,〓の戒,,primary
866,169,codepage,1941,73,"Activated after victory. Money
acquired increases to 150%
(when held).","戦闘勝利時に効果発生。
獲得金〓が.倍になる。
（所有時のみ有効）",,primary
866,170,codepage,2014,67,"Activated in battle. Extension Gauge
reduction slows (when held).","戦闘時に効果発生。
エクステンドゲージの減少速度が
〓くなる。
（所有時のみ有効）",,primary
866,171,codepage,2081,81,"Activated in battle. No purple and
bright gems, get items
instead (when held).","戦闘時に効果発生。
紫炎石と輝炎石が出なくなる。
代わりにアイテムが手に入る。
（所有時のみ有効）",,primary
866,172,codepage,2162,86,"Activated after victory. Experience
doubles, but money is not acquired
(when held).","戦闘勝利時に効果発生。
経験値が倍になる。
代わりに獲得金〓はゼロになる。
（所有時のみ有効）",,primary
866,173,codepage,2248,86,"Activated after victory. Money
triples, but experience is not
acquired (when held).","戦闘勝利時に効果発生。
獲得金〓が倍になる。
代わりに経験値はゼロになる。
（所有時のみ有効）",,primary
866,174,codepage,2334,93,"Activated after victory. Distributes
1/6 of experience to allies not
fighting (when held).","戦闘勝利時に効果発生。
戦闘に参加していないキャラクター
にも〓の経験値が〓り振られる。
（所有時のみ有効）",,primary
866,175,codepage,2427,74,"Activated in field. Photons reflected
four additional times (when held).","フィールド移動時に効果発生。
光子の反射回数が回増える。
（所有時のみ有効）",,primary
866,176,codepage,2501,73,"Activated in field. Photons can
break Yggdrasil's pillars (when
held).","フィールド移動時に効果発生。
ユグドラシルのピラーを、
光子を当てて破壊できる。
（所有時のみ有効）",,primary
866,177,codepage,2574,91,"Activated in field. Fire photons three
directions at once. No repeat firing
(when held).","フィールド移動時に効果発生。
光子を方向に同時発射する。
ただし連射はできない。
（所有時のみ有効）",,primary
866,178,codepage,2665,99,"Activated at fight start. Prevents
enemy ambush when held. When
used by enemies, assures ambush.","戦闘開始時に効果発生。
所持すれば不意打ちを回避できる。
逆に、この効果を持つ敵との戦闘は
必ず不意打ちになる。",,primary
866,179,codepage,2764,85,"Negates forced movement in field.
In battle, subject is thrown less
when launched.","フィールド移動時は、強制移動力を
無効化する。
戦闘時は、効果対〓者が攻撃を
受けた時の吹き飛び量を減少させる。",,primary
866,180,codepage,2849,87,"Increases forced movement in field.
In battle, subject is thrown more
when launched.","フィールド移動時は、強制移動力の
影響を増加する。
戦闘時は、効果対〓者が攻撃を
受けた時の吹き飛び量を増加させる。",,primary
866,181,codepage,2936,103,"Activated in field. Push up after
jump to glide. No items from
treasure chests or breaking
enemies.","フィールド移動時、ジャンプ中に
上を押すと、落下速度が低下する。
代わりに宝箱や戦闘時の部位破壊
によるアイテムを入手できない。",,primary
866,182,codepage,3039,94,"Activated in battle. Subject's fire
attack power upped to 150%. Ice
attack power is halved.","戦闘時に効果発生。
効果対〓者の炎属性攻撃の威力を
.倍にする。
ただし氷属性攻撃の威力は半減する。",,primary
866,183,codepage,3133,94,"Activated in battle. Subject's ice
attack power upped to 150%. Fire
attack power is halved.","戦闘時に効果発生。
効果対〓者の氷属性攻撃の威力を
.倍にする。
ただし炎属性攻撃の威力は半減する。",,primary
866,184,codepage,3227,101,"Activated in battle. Subject's earth
attack power upped to 150%.
Lightning attack power is halved.","戦闘時に効果発生。
効果対〓者の土属性攻撃の威力を
.倍にする。
ただし雷属性攻撃の威力は半減する。",,primary
866,185,codepage,3328,101,"Activated in battle. Subject's
lightning attack power upped to
150%. Earth attack power is halved.","戦闘時に効果発生。
効果対〓者の雷属性攻撃の威力を
.倍にする。
ただし土属性攻撃の威力は半減する。",,primary
