scene,scene_line,resource,message_id,script_offset,voice_scene,voice_slot,audio_id,speaker,original_en,original_jp,translated,details
1,1,361,6,1076,,,,,ERRORv,ERR0R！！（v190）,,
1,2,361,9,1468,,,,,ERRORv,ERR0R！！（v192）,,
1,3,361,10,1604,,,,,ERRORv,ERR0R！！（v191）,,
1,4,361,386,1740,,,,,Lwyn <PART> has joined the party.,ルイン <PART> が仲間に加わりました,,
1,5,361,387,1888,,,,,Jessica <PART> has joined the party.,ジェシカ <PART> が仲間に加わりました,,
1,6,361,388,2036,,,,,Richelle <PART> has joined the party.,リシェル <PART> が仲間に加わりました,,
1,7,361,389,2184,,,,,Fraudir <PART> has joined the party.,フローディア <PART> が仲間に加わりました,,
1,8,361,390,2332,,,,,Celes <PART> has joined the party.,セレス <PART> が仲間に加わりました,,
1,9,361,391,2480,,,,,Crescent <PART> has joined the party.,クレセント <PART> が仲間に加わりました,,
1,10,361,392,2628,,,,,Sylphide <PART> has joined the party.,シルフィード <PART> が仲間に加わりました,,
1,11,361,393,2776,,,,,Tyrith <PART> has joined the party.,ティリス <PART> が仲間に加わりました,,
1,12,361,394,2924,,,,,Circe <PART> has joined the party.,キルケ <PART> が仲間に加わりました,,
1,13,361,395,3072,,,,,Rasheeka <PART> has joined the party.,ラシーカ <PART> が仲間に加わりました,,
1,14,361,396,3220,,,,,Falx <PART> has joined the party.,ファルクス <PART> が仲間に加わりました,,
1,15,361,397,3368,,,,,Gerald <PART> has joined the party.,ジェラルド <PART> が仲間に加わりました,,
1,16,361,398,3516,,,,,Guilm <PART> has joined the party.,ギルム <PART> が仲間に加わりました,,
1,17,361,399,3664,,,,,Roland <PART> has joined the party.,ローランド <PART> が仲間に加わりました,,
1,18,361,400,3812,,,,,Ehlen <PART> has joined the party.,エーレン <PART> が仲間に加わりました,,
1,19,361,401,3960,,,,,Adonis <PART> has joined the party.,アドニス <PART> が仲間に加わりました,,
1,20,361,402,4108,,,,,Aaron <PART> has joined the party.,アーロン <PART> が仲間に加わりました,,
1,21,361,403,4256,,,,,Dyn <PART> has joined the party.,ディーン <PART> が仲間に加わりました,,
1,22,361,404,4404,,,,,Kraad <PART> has joined the party.,クラッド <PART> が仲間に加わりました,,
1,23,361,405,4552,,,,,Zunde <PART> has joined the party.,ザンデ <PART> が仲間に加わりました,,
1,24,361,406,4700,,,,,Atrasia <PART> has joined the party.,アトレイシア <PART> が仲間に加わりました,,
1,25,361,407,4848,,,,,Phyress <PART> has joined the party.,フィレス <PART> が仲間に加わりました,,
1,26,361,408,4996,,,,,Chrystie <PART> has joined the party.,クリスティ <PART> が仲間に加わりました,,
1,27,361,409,5144,,,,,Sha-kon <PART> has joined the party.,紗紺 <PART> が仲間に加わりました,,
1,28,361,410,5292,,,,,Lylia <PART> has joined the party.,リリア <PART> が仲間に加わりました,,
1,29,361,411,5440,,,,,Lydia <PART> has joined the party.,リディア <PART> が仲間に加わりました,,
1,30,361,412,5588,,,,,Sophalla <PART> has joined the party.,ソファラ <PART> が仲間に加わりました,,
1,31,361,413,5736,,,,,Millidia <PART> has joined the party.,ミリティア <PART> が仲間に加わりました,,
1,32,361,414,5884,,,,,Arcana <PART> has joined the party.,アルカナ <PART> が仲間に加わりました,,
1,33,361,415,6032,,,,,Ehrde <PART> has joined the party.,エルド <PART> が仲間に加わりました,,
1,34,361,416,6180,,,,,Mithra <PART> has joined the party.,ミトラ <PART> が仲間に加わりました,,
1,35,361,417,6328,,,,,Aegis <PART> has joined the party.,イージス <PART> が仲間に加わりました,,
1,36,361,418,6476,,,,,Psoron <PART> has joined the party.,ソロン <PART> が仲間に加わりました,,
1,37,361,419,6624,,,,,Khanon <PART> has joined the party.,カノン <PART> が仲間に加わりました,,
1,38,361,420,6772,,,,,Farant <PART> has joined the party.,ファーラント <PART> が仲間に加わりました,,
1,39,361,421,6920,,,,,Xehnon <PART> has joined the party.,ゼノン <PART> が仲間に加わりました,,
1,40,361,422,7068,,,,,Alm <PART> has joined the party.,アルム <PART> が仲間に加わりました,,
1,41,361,423,7216,,,,,Seluvia <PART> has joined the party.,セルヴィア <PART> が仲間に加わりました,,
1,42,361,424,7364,,,,,Masato <PART> has joined the party.,魔智 <PART> が仲間に加わりました,,
1,43,361,425,7512,,,,,Woltar <PART> has joined the party.,ウォルター <PART> が仲間に加わりました,,
1,44,361,252,8488,,,,Lwyn,Is it my turn now? I've waited an eternity.,やっと出番？ 待ちくたびれたわよ,,
1,45,361,253,8596,,,,Jessica,"If there's anyway I can serve you,
it would be my pleasure.",私でお役に立てるのならば喜んでお仕え致します,,
1,46,361,254,8704,,,,Richelle,"As long as I live, you shall have my sword.",命ある限り 貴方の〓とも槍ともなりましょう…,,
1,47,361,255,8812,,,,Fraudir,"So you need my strength, huh?
Alright, I guess I'll help you out.",私の力が必要なのね？いいわ 手伝ってあげる,,
1,48,361,256,8920,,,,Celes,My life is yours. Your wish is my command.,この命は貴方のもの 戦えというのなら戦うわ,,
1,49,361,257,9028,,,,Crescent,Ehlen...where is Ehlen?,エーレン… エーレンはどこ？,,
1,50,361,258,9136,,,,Sylphide,I'd give my life for peace in this world.,世界のためならば この命〓しくはありません,,
1,51,361,259,9244,,,,Tyrith,I'll let you see just what I can do.,私の力 見せてあげるわ,,
1,52,361,260,9352,,,,Circe,You want me to fight? I don't really mind.,戦うの？ まあいいけど,,
1,53,361,261,9460,,,,Rasheeka,"If you find me worthy, I will help you.",私で良ければ 力を〓すわ,,
1,54,361,262,9568,,,,Falx,"Sure, I'll lend you a hand.",いいぜ 手を〓してやるよ,,
1,55,361,263,9676,,,,Gerald,I shall use my powers to serve you.,蘇りし我が力 貴方のために使いましょう,,
1,56,361,264,9784,,,,Guilm,"I will gladly take up arms,
if the princess of Dipan so desires.",ディパンの王女のためならば今一度この剣を振るいましょう,,
1,57,361,265,9892,,,,Roland,"Don't worry, just leave it to me.",安心しろ 後は俺が何とかする,,
1,58,361,266,10000,,,,Ehlen,"If I can help, then by all means, I will.",私の力が貴方の役に立つというのであれば,,
1,59,361,267,10108,,,,Adonis,Hmph! It's about time you came!,ふん！ やっと俺に頼る気になったか？,,
1,60,361,268,10216,,,,Aaron,It is my duty to protect.,俺に守れるものがあるのならば…,,
1,61,361,269,10324,,,,Dyn,I will save Midgard from danger!,ミッドガルドの危機は俺が救う！,,
1,62,361,270,10432,,,,Kraad,It's been a while since I last fought.,久しぶりに 思い切り剣を振らせてもらうぜ,,
1,63,361,271,10540,,,,Zunde,"Alright! My time to shine, baby!",よっしゃあ！ 出番来た来たー！,,
1,64,361,272,10648,,,,Atrasia,"I despise the gods, but you I trust.",神は嫌いだけど 貴方なら信じられる,,
1,65,361,273,10756,,,,Phyress,"I'll come out, but I better look young!",外に出すなら 若い姿でお願いね～,,
1,66,361,274,10864,,,,Chrystie,I'm finally out! Took you long enough!,やあっと出られた～ もう呼ぶの遅過ぎー！,,
1,67,361,275,10972,,,,Sha-kon,Do you have what I need for my research?,なに？ 出番？ 研究材料に適したヤツはいる？,,
1,68,361,276,11080,,,,Lylia,"I never thought I'd have another chance
to walk these lands again.",こうして再びこの地に〓い戻ろうとは思いもしませんでした…,,
1,69,361,277,11188,,,,Lydia,Use my power as you like.,この力 好きに使ってちょうだい,,
1,70,361,278,11296,,,,Sophalla,How much longer must I fight?,また戦うのねいつまで弓を取ればいいのかしら,,
1,71,361,279,11404,,,,Millidia,Battle? I'm not afraid!,戦いですか？ …大丈夫 怖くは無いです,,
1,72,361,280,11512,,,,Arcana,"Let's do it, I love a good fight.",いいわ 一緒に戦いましょ,,
1,73,361,281,11620,,,,Ehrde,I smell blood... This could be fun.,血の〓いがするな …楽しくなりそうだ,,
1,74,361,282,11728,,,,Mithra,"If you see this even though you've
seen event 5, it is a bug. <PART> ---",イベント〓番を見たにも関わらずこれが出たらバグです。 <PART> 報告をお願いします。,,
1,75,361,283,11836,,,,Aegis,I've never lost...on the surface.,地面の上でなら 負けはしねぇよ,,
1,76,361,284,11944,,,,Psoron,How long has it been? How is my research?,…今はいつだ？魔法の研究はどのくらい進んでる？,,
1,77,361,285,12052,,,,Khanon,"Hahaha, this body is mine again!
Allow me to indulge in it.",くく… 再び得たこの体存分に使わせてもらいましょうぞ,,
1,78,361,286,12160,,,,Farant,"If you wish to see the extent of my powers,
then place a foe before me!",俺の力が見たいのか？だったら敵を連れて来いよ！,,
1,79,361,287,12268,,,,Xehnon,"Do with me as you please.
You saved me, and I am yours to command.",思うように使ってくれて構わない私は貴方に救われたのだから,,
1,80,361,288,12376,,,,Alm,"So you want my help, eh?",おや 我が力を〓せと仰いますか,,
1,81,361,289,12484,,,,Seluvia,I will protect you as best I can.,可能な限り 貴方を〓護します,,
1,82,361,290,12592,,,,Masato,"If you want my power, you can have it.",力を〓せというなら〓すさ,,
1,83,361,291,12700,,,,Woltar,"I stand once more upon this ground?
Fate is a curious mistress.",またこの地に立つとは…運命とは何が起こるかわからんな,,
1,84,361,292,12812,,,,,A light warrior's soul emanates from the sword.,剣から軽戦士の思念が伝わってくる………,,
1,85,361,293,12912,,,,,A heavy warrior's soul emanates from the sword.,剣から重戦士の思念が伝わってくる………,,
1,86,361,294,13012,,,,,An archer's soul emanates from the bow.,弓から弓闘士の思念が伝わってくる………,,
1,87,361,295,13112,,,,,A sorcerer's soul emanates from the staff.,〓から魔術師の思念が伝わってくる………,,
1,88,361,299,13232,,,,,"Materialization is impossible
without Silmeria...",やっぱり シルメリアじゃないとマテリアライズはできないのね…,,
2,1,361,296,,,,,,Perform materialization?,マテリアライズしますか〓,,not displayed by the event script
2,2,361,297,,,,,,Yes,はい,,not displayed by the event script
2,3,361,298,,,,,,No,いいえ,,not displayed by the event script
2,4,361,300,,,,,,Palace of the Venerated Dragon,奉竜殿,,not displayed by the event script
2,5,361,426,,,,,,Lwyn,ルイン,,not displayed by the event script
2,6,361,427,,,,,,Jessica,ジェシカ,,not displayed by the event script
2,7,361,428,,,,,,Richelle,リシェル,,not displayed by the event script
2,8,361,429,,,,,,Fraudir,フローディア,,not displayed by the event script
2,9,361,430,,,,,,Celes,セレス,,not displayed by the event script
2,10,361,431,,,,,,Crescent,クレセント,,not displayed by the event script
2,11,361,432,,,,,,Sylphide,シルフィード,,not displayed by the event script
2,12,361,433,,,,,,Tyrith,ティリス,,not displayed by the event script
2,13,361,434,,,,,,Circe,キルケ,,not displayed by the event script
2,14,361,435,,,,,,Rasheeka,ラシーカ,,not displayed by the event script
2,15,361,436,,,,,,Falx,ファルクス,,not displayed by the event script
2,16,361,437,,,,,,Gerald,ジェラルド,,not displayed by the event script
2,17,361,438,,,,,,Guilm,ギルム,,not displayed by the event script
2,18,361,439,,,,,,Roland,ローランド,,not displayed by the event script
2,19,361,440,,,,,,Ehlen,エーレン,,not displayed by the event script
2,20,361,441,,,,,,Adonis,アドニス,,not displayed by the event script
2,21,361,442,,,,,,Aaron,アーロン,,not displayed by the event script
2,22,361,443,,,,,,Dyn,ディーン,,not displayed by the event script
2,23,361,444,,,,,,Kraad,クラッド,,not displayed by the event script
2,24,361,445,,,,,,Zunde,ザンデ,,not displayed by the event script
2,25,361,446,,,,,,Atrasia,アトレイシア,,not displayed by the event script
2,26,361,447,,,,,,Phyress,フィレス,,not displayed by the event script
2,27,361,448,,,,,,Chrystie,クリスティ,,not displayed by the event script
2,28,361,449,,,,,,Sha-kon,紗紺,,not displayed by the event script
2,29,361,450,,,,,,Lylia,リリア,,not displayed by the event script
2,30,361,451,,,,,,Lydia,リディア,,not displayed by the event script
2,31,361,452,,,,,,Sophalla,ソファラ,,not displayed by the event script
2,32,361,453,,,,,,Millidia,ミリティア,,not displayed by the event script
2,33,361,454,,,,,,Arcana,アルカナ,,not displayed by the event script
2,34,361,455,,,,,,Ehrde,エルド,,not displayed by the event script
2,35,361,456,,,,,,Mithra,ミトラ,,not displayed by the event script
2,36,361,457,,,,,,Aegis,イージス,,not displayed by the event script
2,37,361,458,,,,,,Psoron,ソロン,,not displayed by the event script
2,38,361,459,,,,,,Khanon,カノン,,not displayed by the event script
2,39,361,460,,,,,,Farant,ファーラント,,not displayed by the event script
2,40,361,461,,,,,,Xehnon,ゼノン,,not displayed by the event script
2,41,361,462,,,,,,Alm,アルム,,not displayed by the event script
2,42,361,463,,,,,,Seluvia,セルヴィア,,not displayed by the event script
2,43,361,464,,,,,,Masato,魔智,,not displayed by the event script
2,44,361,465,,,,,,Woltar,ウォルター,,not displayed by the event script
