scene,scene_line,resource,message_id,script_offset,voice_scene,voice_slot,audio_id,speaker,original_en,original_jp,translated,details,copy_status
1,1,1339,2740,3932,,,,Alicia,Odin!,オーディン！,,,
1,2,1339,2745,4520,,,,Odin,But you give me no choice.,だが仕方が無い,,,
1,3,1339,2747,5496,,,,Odin,"Ah, Princess Alicia.
And look. You brought Leone, too.",やあ <PART> アリーシャ王女 <PART> レオーネも <PART> よく来てくれたね,,,
1,4,1339,2741,6280,,,,Odin,"So, it is not to be?
I wanted to end this without bloodshed.",やはり無理かな？ <PART> 戦わずにすめば それが一番良いのだがね,,,
1,5,1339,2742,7412,,,,Odin,Indeed...,確かにな…,,,
1,6,1339,2752,8268,,,,Odin,"If we only sat down and talked, we
could work it out, I'm sure. Don't you think?",話し合えれば それに〓した事はないだろう？ <PART> 本当は,,,
1,7,1339,2743,8388,,,,Odin,"That human was clever. I was distracted.
I focused too much on what you were doing.",あの人間も〓妙だったが <PART> こちらもお前達に気を取られすぎていたようだ,,,
1,8,1339,2744,8440,,,,Odin,"But human power... <PART>
is truly a frightening thing.",しかし凄いものだね 人の力は <PART> …恐ろしくもある,,,
1,9,1339,2746,8748,,,,Odin,"If thou shalt not listen to my words,
 <PART> then thou shalt taste my steel.",〓達は言葉を聞かないのだから <PART> それでは戦うしかなくなる,,,
1,10,1339,2748,8904,,,,Leone,I could say the same about you.,その言葉 <PART> そっくりそのまま返すわ,,,
1,11,1339,2749,9444,,,,Odin,"What's wrong?
You don't seem yourself.",どうしたね？ <PART> なんだかあまり元気がないようだが,,,
1,12,1339,2750,9632,,,,Alicia,"Odin.
What are you plotting this time?",…オーディン <PART> 今度は何を〓んでいるのです？,,,
1,13,1339,2751,9944,,,,Leone,"You think we'd trust you, after all
you've done?",今更 <PART> 貴方を信じろと？,,,
1,14,1339,2753,10344,,,,Odin,"I wish for only one thing: that Ragnarok
be averted, and peace brought to the world.",私が心から願うのは <PART> ラグナロクなど起きない <PART> 平和な世界,,,
1,15,1339,2760,13016,,,,,Lenneth <PART> has joined the party.,レナス <PART> が仲間に加わりました,,,duplicate
1,16,1339,2761,13108,,,,,Hrist <PART> has joined the party.,アーリィ <PART> が仲間に加わりました,,,duplicate
1,17,1339,2762,13200,,,,,Silmeria <PART> has joined the party.,シルメリア <PART> が仲間に加わりました,,,duplicate
1,18,1339,2754,13440,,,,Odin,"Once again, <PART> you ruin my plans.
Princess Alicia and Leone.",まったく <PART> 〓介な存在だな <PART> アリーシャ王女 <PART> レオーネ,,,
1,19,1339,2755,13560,,,,Odin,"But mark my words.
 <PART> Some day, I will have my revenge.",まあ仕方がない <PART> 〓等を〓つのはまたあとだ,,,
2,1,1339,2756,,,,,,EVENT_MAP,イベントマップ,,not displayed by the event script,primary
2,2,1339,2757,,,,,,Alicia,アリーシャ,,not displayed by the event script,duplicate
2,3,1339,2758,,,,,,Odin,オーディン,,not displayed by the event script,duplicate
2,4,1339,2759,,,,,,Leone,レオーネ,,not displayed by the event script,duplicate
