original_jp,original_en,translated,occurrences,containers,notes
"〓なコボルトのウィッグ。このカリフラワーのような
物体にはソウルなるものが宿るらしい。",A curious kobold wig. Said to contain another kind of soul.,,3,container-0641.csv container-0644.csv container-0645.csv,
ディパン王家の紋章が刻まれたペンダント。,A pendant engraved with the royal crest of Dipan.,,3,container-0641.csv container-0644.csv container-0645.csv,
代表的な根野菜。白くてスラッとしている。,A representative bulb crop. White and long.,,3,container-0641.csv container-0644.csv container-0645.csv,
"鉄〓の重たいヘアーバンド。
アリーシャのものに良く似ている。",A heavy steel hairband. Looks a lot like Alicia's.,,3,container-0641.csv container-0644.csv container-0645.csv,
"白地にルーファスの衣装の〓が〓いてある
〓レ〓レのシャツ。他意を感じる。","White grungy shirt with an image of Rufus's clothes drawn on
it. Probably some inside joke.",,3,container-0641.csv container-0644.csv container-0645.csv,
"ボール紙に銀紙が〓り付けてある変な手作りメダル。
なんだこれ。","Weird medal, handmade by pasting silver paper on cardboard.
What is this thing?",,3,container-0641.csv container-0644.csv container-0645.csv,
"な〓か疾風と書かれた赤いバンダナ。
ルーファスが〓、失くしたものに良く似ているらしい。","Red bandanna that says ""Run like the winded"" for some reason.
Resembles one Rufus lost a while ago.",,3,container-0641.csv container-0644.csv container-0645.csv,
"ヴァルハラガイドと書かれた分厚い本。帯に
「エインフェリア必〓の究極ガイド〓」と書いてある。","Latest edition of the Valhalla Guide.
The cover features ""10 Items no einherjar should be without.""",,3,container-0641.csv container-0644.csv container-0645.csv,
ツンツンに硬く尖ったヘアスタイルを再現したヅラ。,Wig sporting a conic-spike punk hairstyle.,,3,container-0641.csv container-0644.csv container-0645.csv,
"紫色、というかブラムス色に〓まった鏡。
〓き込むと背後に不〓な影が見えるらしい。","A purple-colored mirror? No, a Brahms-colored mirror.
Peer into it and see an ominous shadow...",,3,container-0641.csv container-0644.csv container-0645.csv,
"ちっちやくて可愛い吸血〓虫。
〓気に今日も〓〓ん〓〓ん飛び跳ねる。","Cute, tiny bloodsucking bugs. 
They bounce around so alive and happy!",,3,container-0641.csv container-0644.csv container-0645.csv,
戦乙女の〓愛を〓かる者の名を〓する剣。,For those who have earned the favor of the battle-maiden.,,3,container-0641.csv container-0644.csv container-0645.csv,
別れの意を〓する切り裂きの剣。,A sword that makes goodbyes simple.,,3,container-0641.csv container-0644.csv container-0645.csv,
邪竜を引き裂く者の意を〓する大剣。,Greatsword whose name refers to its power to defeat evil.,,3,container-0641.csv container-0644.csv container-0645.csv,
"竜殺しとも呼ばれる大剣。その改良版。
どんな強大な力を持つ竜も、この剣の前には無力となる。","The sword known for slaying dragons, now new and improved!
Even the strongest of dragons is powerless before it.",,3,container-0641.csv container-0644.csv container-0645.csv,
"不死者の呪いが込められた剣。
攻撃した相手の血を食らうと言われている。","Sword carrying the curse of the undead. 
Said to suck the blood of the enemy it attacks.",,3,container-0641.csv container-0644.csv container-0645.csv,
"世界のあらゆる知識が〓め込まれた石。
その破片。",A chip off of the stone that bears all knowledge in the world.,,3,container-0641.csv container-0644.csv container-0645.csv,
"ホムンクルスを作る核となるもの。
なんか緑色でぶよぶよしている。","The seed for forming a homunculus.
It's green and plump.",,3,container-0641.csv container-0644.csv container-0645.csv,
"あらゆる魔術について〓べられた魔導書。
外法とも言われる屍霊術にも詳しい。","A magic tome addressed to all monsters.
Contains forbidden treatises on tricks for animating the dead.",,3,container-0641.csv container-0644.csv container-0645.csv,
闇から抜け出たような漆黒のローブ。,"Pitch black robes that seem to have come out of darkness
itself.",,3,container-0641.csv container-0644.csv container-0645.csv,
虐げられてきた者達の怨念がこもった剣。,Sword fueled by the angst of the downtrodden.,,3,container-0641.csv container-0644.csv container-0645.csv,
〓ばれて狩られたネズミ。,"A rat, hunted and toyed with.",,3,container-0641.csv container-0644.csv container-0645.csv,
〓ばれて尻尾が切れたトカゲ。,"An abused lizard, its tail cut off.",,3,container-0641.csv container-0644.csv container-0645.csv,
〓ばれた不幸な青い鳥。,"An unlucky blue bird, cruelly mistreated.",,3,container-0641.csv container-0644.csv container-0645.csv,
"栄〓分を消化吸収した後のかす。
時折毛玉が混じる。","Excreted after nutrients have been absorbed.
Occasionally has furballs mixed in.",,3,container-0641.csv container-0644.csv container-0645.csv,
しやぶりつくされた骨。,A bone that has been sucked dry.,,3,container-0641.csv container-0644.csv container-0645.csv,
かじられ、ぼろぼろになった靴。,Battered shoes that something chewed on.,,3,container-0641.csv container-0644.csv container-0645.csv,
所々に〓が開いたぼろぼろの布。,An unkempt cloth with holes everywhere.,,3,container-0641.csv container-0644.csv container-0645.csv,
"栄〓分を消化吸収した後のかす。
〓〓状態がわかる。","Excreted after nutrients have been absorbed.
Indicates health status.",,3,container-0641.csv container-0644.csv container-0645.csv,
ひよこのえさ。,Feed given to baby chicks.,,3,container-0641.csv container-0644.csv container-0645.csv,
野菜のくず。栄〓価は高い。,Old veggies. They're good for you.,,3,container-0641.csv container-0644.csv container-0645.csv,
貝殻を砕いて混〓たえさ。栄〓価は高い。,"Feed with clamshells mixed in. 
It's good for you.",,3,container-0641.csv container-0644.csv container-0645.csv,
"栄〓分を消化吸収した後のかす。
時折空から降ってくる。","Excreted after nutrients have been absorbed.
Occasionally falls from the sky.",,3,container-0641.csv container-0644.csv container-0645.csv,
猫のレリーフが〓りこまれた指輪。,A ring engraved with the image of a cat.,,3,container-0641.csv container-0644.csv container-0645.csv,
犬のレリーフが〓りこまれた指輪。,A ring engraved with the image of a dog.,,3,container-0641.csv container-0644.csv container-0645.csv,
鳥のレリーフが〓りこまれた指輪。,A ring engraved with the image of a bird.,,3,container-0641.csv container-0644.csv container-0645.csv,
持つ者は、動物と会話できると言われる指輪。,A ring that lets one talk to the animals.,,3,container-0641.csv container-0644.csv container-0645.csv,
"戦闘中、アイテムや魔法によるHPの回復が
全体に影響するようになる。ただし回復量は大〓に下がる。","In battle, HP recovery spells and items work on the entire party,
but the amount of HP restored is greatly reduced.",,3,container-0641.csv container-0644.csv container-0645.csv,
"一定確率で敵のガードを破壊する。
これは複数装備しても効果は重複しない。","May break foe's guard.
Equipping more will not have a cumulative effect.",,3,container-0641.csv container-0644.csv container-0645.csv,
回避時、一定確率でカウンター攻撃が発動する。,May launch a counterattack when evading.,,3,container-0641.csv container-0644.csv container-0645.csv,
攻撃ダメージのをHPに変換する。,10% of attack damage is transformed into HP.,,3,container-0641.csv container-0644.csv container-0645.csv,
一定確率で与えたダメージをHPに変換する。,May transform inflicted damage into HP.,,3,container-0641.csv container-0644.csv container-0645.csv,
"敵の攻撃を受けダメージを負った際、一定確率で
受けたダメージの半分を回復する。",May restore half of the damage inflicted by an enemy attack.,,3,container-0641.csv container-0644.csv container-0645.csv,
"戦闘中、状態異常になっている時間が通常の
半分になる。キュアコンディシヨンの効果。","In battle, time needed to recover from status ailments is halved.
The Cure Condition effect.",,3,container-0641.csv container-0644.csv container-0645.csv,
ガード率を上昇させる。,Improves chance of performing a guard.,,3,container-0641.csv container-0644.csv container-0645.csv,
一定確率で魔法ダメージを無効化する。,May negate magic damage.,,3,container-0641.csv container-0644.csv container-0645.csv,
一定確率で魔法を反射する。,May reflect magic.,,3,container-0641.csv container-0644.csv container-0645.csv,
戦闘中のHITが倍になる。,Doubles HIT during battle.,,3,container-0641.csv container-0644.csv container-0645.csv,
"ミスするたびにATKがアップする。
上昇したダメージは攻撃モードを解〓すると戻る。","ATK increases with each miss.
Effect ceases when the attack mode ends.",,3,container-0641.csv container-0644.csv container-0645.csv,
"ミスするたびにクリティカルの発生確率を上昇させる。
上昇した発生率は攻撃モード解〓時にリセット。","Chance of a critical attack increases with each miss.
Effect ceases when the attack mode ends. ",,3,container-0641.csv container-0644.csv container-0645.csv,
"通常攻撃をミスするようになる。
ただし、クリティカルと一部の特殊攻撃は命中する。","Causes normal attacks to miss, but critical attacks and certain
special attacks will strike home.",,3,container-0641.csv container-0644.csv container-0645.csv,
"敵に与えるダメージが上昇する。
ただし攻撃の度に最大HPのを消費してしまう。","Damage inflicted on enemy increases, but each attack reduces
HP by 5% of maximum.",,3,container-0641.csv container-0644.csv container-0645.csv,
敵に与えたダメージの一部をHPに還元させ回復する。,"Part of the damage inflicted on the enemy is transformed into
HP.",,3,container-0641.csv container-0644.csv container-0645.csv,
"HP満タン状態の間、敵に与えるダメージがアップ。
ダメージを負うと元に戻る。","Increased damage inflicted on the enemy as long as HP is at
maximum. Once hurt, the effect ceases.",,3,container-0641.csv container-0644.csv container-0645.csv,
"戦闘中、HPがゾロ目になると幸運な事が起こる。
その時のケタが高いほど大きな幸運になる。","In battle, fortune smiles upon you when all digits in your HP
value are the same. The higher the digit, the luckier.",,3,container-0641.csv container-0644.csv container-0645.csv,
戦闘中、HPが減るとパラメータが上昇する。,"During a battle, character parameters improve as HP falls.",,3,container-0641.csv container-0644.csv container-0645.csv,
戦闘中、HPが減ると決め技の威力が上昇する。,"During a battle, Special Attack power improves as HP falls.",,3,container-0641.csv container-0644.csv container-0645.csv,
戦闘中のみ毒のダメージで回復するようになる。,"Poison damage actually heals the victim, but only in battle.",,3,container-0641.csv container-0644.csv container-0645.csv,
"戦闘中、状態異常（毒）になるとMAGがアップする。
更にクリティカルランクも上昇する。","When suffering from Poison in a battle, MAG goes up.
Critical Rank also increases.",,3,container-0641.csv container-0644.csv container-0645.csv,
