digest,character,resources,first_resource,first_slot
0435b893f275f345fc90d0ee5e94f4c7be19799c,),11,1195,27
05f700379383168f386efba9b70989102196dc6a,s,6,61,14
07510c518df2c95de246bb1c2bbb391a1603da45,1,2,115,36
0ea3e8ca5286cb14c57e40ca62322d886afe05e9,A,3,61,9
0f25675418af0991a8c6742c8b65ab1739ca2b18,(,1,43,50
127ef8e55e5379f5de6d9e791aef6044122c5e52,d,5,61,8
17407654ce7f1ee0376436ef85c0ed7b09743337,/,1,99,35
1d04a172d2885ddc3a839f1f7684774ac65e0493,n,2,61,12
1d7c8f1ea436e65b937a35f17df4407a7aa6bc50,e,6,61,13
29948e9a81e3fc9fe678d449c69dccb0bf4b6058,R,5,61,10
3e617a22a9361eac3a0eba6f5aae0658ca0960c4,:,25,39,58
46e69e7989185da2833e667e60e5517f3473835b,>,12,43,47
48c808af6174e8991b3b374f8d97e8cab2625350,U,1,1203,39
7001a5b32ed172c41f94632ceac38050c8d2073d,W,2,1299,52
764291dbb58409dfe5ce8213b84475f9124167ce,),3,43,51
884bbb8a5bcdc58de2df528efe1bb50b4a7cfca8,!,148,33,34
9f635a0192c0d182e4542a5bb1070e6badcae222,K,1,61,11
a5686a92385a6533e5e118f2bcb7c3f029544a1e,<,12,43,46
a5afab719fc0b7a69a8ee0a86a8ef199db21237a,M,1,1203,47
a7eef7d948eee34a4a7625ebd5288ae84e70253b,v,2,1203,48
b22ed105d0ab096f6c77ad7459e141e2a6f2a07c,L,3,1203,40
b296c855474cc67610bd1299b4bf9e4ed0dfd96e,o,4,1197,61
b55203491e72e58c85799e4ac551e016ef660a75,;,22,39,50
b62a57c36779da27c0d682ec88fc1cdc046b258d,*,2,53,40
c4151456a76e556d05d4f07cc42edfa178faf70d,2,2,99,33
c4a512746b2ce4511ff27bb448a47e41acba15b5,0,3,99,34
c744054ec728bd33aaacc260db5ebe2705cbdcb4,"""",37,39,55
d1b43402fc13aaca20f20d10c4f5235015833947,h,4,1197,63
d239efd1ed7e00e56a24d2c486c4fa4aa0a48bcf,X,1,43,49
d36754e866574913af94cc176f683621e995a730,5,20,167,41
d9a5a320ab12e9b26df4305d2c1f47c91a6efc9c,G,2,1197,64
dec41e7e059ad7b170818bd60885cd35a5b90e85,P,1,61,17
e056ca3a5773a2bd85e95f9deddc8b966db4e577,(,11,1195,21
e180cd9b6e37bd602bd0a678101a705a31e58754,i,5,61,16
e578020bf1f9b04c8f0c22f0c360c9074f035fbd,B,1,1357,53
ee4f636c81b18e4e62412634fecb554563ec68da,Z,20,39,59
ef0fda1416e2d9828d52e7b5b33467a4313ce0aa,F,2,1197,56
f036032e88dc8e60a0fe8ab6e09adaf2c3c72436,t,5,1197,62
f21626370b2211b5976da74e46f0b392ee4c5aae,-,83,33,41
2ee4e822fca7ccc7cccfe08473dcc2e00ed6220b,▪,4,49,2
