digest,character,resources,first_resource,first_slot
001f5114dfec80f1fec0fecaf169f4b3969d8878,。,39,10,61
002281a3d67d886b5b28f088d8d0e170a4ba9d0e,に,351,10,9
0022deee6129da727949eff93918c92e31d2fc2d,銀,7,593,8
003325123833a3df8a246b0aaa15114019a80c0d,扮,1,650,1227
0058314ef072249e3e56a07b3b9ceefeb49d9465,『,11,31,11
009c0b65a11d5bd8b03ee0ecb73b4466e18c6e2b,換,11,145,7
009ee99dfe61077b7a02e2a2fd49f5b0bce37b9d,傍,2,649,245
00bb3d6791c891d11c00454ec00c34d2023b03cc,草,23,39,924
00f9bff91fe84f33d5c26e403add471bc0ecc9d7,頃,35,33,161
01159176f4dfc2be79fdda672605fccabbc048b3,t,6,644,353
01165b3dae6390f85572af51da647801b4dcd425,、,4,337,45
0119d9a3a527590b1c36065bd386a6a60c25ec2d,支,37,33,269
014f91f31b43f2fcb715512d4d47dd1b72bb9f0f,混,13,49,93
0151f939d8859a62feae03f172a2b738715f3a79,分,73,33,61
017055b39ddcddaf1c4682aba0e8f26fb47b5d40,向,12,185,38
019439414c9e07a0deb14cb56ff38d95e45ddb97,探,37,33,236
01bd9fcfd4094ca2f191db99eddf575077688008,集,9,43,257
01c33bc6793bd98aadb869bc891dd2533d0b2a71,疑,22,39,595
01d204f625e51e9a98426ffa26cbd352f8f7ae98,獄,1,650,1269
0237822b7ef718753cb0bc6b0c41aea4a8ba059b,遠,43,37,90
025c499faf5d4ccef6f1ca127c15bb1dd0bd62d8,露,7,593,11
025d45f03617bc7bc2ebd1e5c836220850b77c5b,け,27,10,165
02724092c03c59c37f310b13725514f8acb2faf5,最,12,29,138
027fa040d4a89940425252d9c7960bb629fa40ee,揺,22,39,345
028c0b04da8628af08267b2cda899a804c083dbf,祝,4,641,731
029f80fb5383505ccf35e0b0fbecead4d3adf4ce,効,21,24,34
02ad44777d18d612d22b5c06f4805912739ee9de,浄,5,641,683
02c27f8a341e34e44fb87674b239241401af4dd6,未,34,39,410
031a7457b1360b525bb7b7eb10e5d89c611fa1bf,前,24,24,3
03b5d19d0d7b5b91d01df477024e8e704b322a60,熟,3,1015,278
03b7a335189e8ef5a252e0be78d47739c73fc2b7,値,24,39,170
03cf1e199a42f87ac534385b58da6ca29dbe9f4f,藍,6,641,379
03d1b649c11a33085b26aac4ccd80c5c157ae6ee,度,20,10,82
03e534de41037b24d661d28cbc6bef376c7f1450,闊,1,1277,152
03f8fb43cf1cacb7d9b499f94b727a736a2bd491,寸,1,650,915
040689fd7f4f6a8dd2747ca9724c5cb5be9bbaa3,切,30,10,10
0410868531de582c186c69b4cb01aa8757905d42,青,10,33,320
041456180010e5e0d13f261f8b581fefef6b130c,け,144,24,55
0463ea763d08075799d9eb8b42733a6ecb043821,オ,129,29,156
047659e6e53f53ecfdf892fcbafc33435015fc9a,喪,14,29,5
04a4b73d80f018ebf2961658d4e0dac7490e8b83,ぼ,8,47,241
04baa515368caae4f708f026827beb7f6885953d,遅,30,33,62
050c516f613fb5d250b0440e9548a4c65b09721d,ン,134,33,37
0524ef4d1952148d01a3cafb283a5210d904692c,門,2,29,283
0533c233469839fe2a62af1be018198ee8a132e8,悲,31,39,704
059e99c5cec66cf112fd061bafc2c9adc78d30b8,超,8,49,248
05ba936962be4b036464198d5ff4f6294dc89aaf,調,34,24,6
05bd8ccea97151f2912e330c6cf079b5548f9827,金,37,35,283
05cea648971cbd2beea882ca7ecdc23cf77c993e,ピ,13,43,169
0602e1d97e715755a871150500623f83bc906771,関,52,33,223
061be4725a2f975e4e26c2d52aaf82a8b4eb7515,矢,7,75,168
0648ee8f174f7164bb13cba98a6a3f8d362cf762,病,4,641,933
065e31cae5c32a8ed6ec1286b6da309da50898f1,様,11,43,237
0682b91f3c4420f05629eb49b096d9fa7f5aee8b,卵,15,47,1068
068ab8525b66966cc306649eea23742fa1b8a0d1,S,2,10,29
06c163ba939f7b60ea717c19e7b788e6d2f6bb5d,択,23,39,552
06c9c76b0a4e6df18d068541a0451c89bbdcbecf,君,1,650,1112
06d6f31ac248eefc5db1e567bf4b0c0ac298d345,ト,260,10,43
06d818694997e40a6b32a0927d2b3b48a8b8f52b,竜,23,39,531
070bed54f3c97e6143b9bede35aac806bd9382ff,賭,2,647,651
074f627fa725a1d7312701618b1881faa362bed8,紋,6,641,511
